T,2.2,Nsite,400
energy,hist_E,hist_M,hist_M2,hist_M4
-792.0,1.00000000e+00,3.98000000e+02,1.58404000e+05,2.50918272e+10
-784.0,6.00000000e+00,3.95333333e+02,1.56289333e+05,2.44269105e+10
-780.0,1.00000000e+00,3.94000000e+02,1.55236000e+05,2.40982157e+10
-776.0,1.20000000e+01,3.93500000e+02,1.54843000e+05,2.39768180e+10
-772.0,1.60000000e+01,3.91625000e+02,1.53372250e+05,2.35243238e+10
-768.0,4.10000000e+01,3.91170732e+02,1.53017073e+05,2.34157579e+10
-764.0,5.10000000e+01,3.89450980e+02,1.51673176e+05,2.30054229e+10
-760.0,1.09000000e+02,3.88733945e+02,1.51117138e+05,2.28382269e+10
-756.0,1.62000000e+02,3.87197531e+02,1.49924568e+05,2.24789429e+10
-752.0,2.63000000e+02,3.86205323e+02,1.49158327e+05,2.22504437e+10
-748.0,3.72000000e+02,3.84500000e+02,1.47844226e+05,2.18602446e+10
-744.0,6.21000000e+02,3.83294686e+02,1.46922209e+05,2.15904029e+10
-740.0,8.04000000e+02,3.81788557e+02,1.45769945e+05,2.12531591e+10
-736.0,1.09200000e+03,3.80417582e+02,1.44728432e+05,2.09525087e+10
-732.0,1.50500000e+03,3.79059136e+02,1.43698116e+05,2.06560350e+10
-728.0,2.02300000e+03,3.77620366e+02,1.42611992e+05,2.03463916e+10
-724.0,2.55800000e+03,3.76028929e+02,1.41415620e+05,2.00081643e+10
-720.0,3.33900000e+03,3.74633124e+02,1.40368374e+05,1.97132989e+10
-716.0,4.32800000e+03,3.73073475e+02,1.39204356e+05,1.93889730e+10
-712.0,5.19400000e+03,3.71534078e+02,1.38060981e+05,1.90734022e+10
-708.0,6.43300000e+03,3.69983833e+02,1.36914501e+05,1.87596173e+10
-704.0,7.71000000e+03,3.68324773e+02,1.35692712e+05,1.84280768e+10
-700.0,9.28100000e+03,3.66677298e+02,1.34486269e+05,1.81042187e+10
-696.0,1.06600000e+04,3.64874296e+02,1.33171970e+05,1.77547310e+10
-692.0,1.24010000e+04,3.63159423e+02,1.31928000e+05,1.74269775e+10
-688.0,1.42440000e+04,3.61499579e+02,1.30730836e+05,1.71150740e+10
-684.0,1.59430000e+04,3.59697297e+02,1.29439172e+05,1.67825998e+10
-680.0,1.77700000e+04,3.57789420e+02,1.28078787e+05,1.64360176e+10
-676.0,1.97000000e+04,3.55885787e+02,1.26726414e+05,1.60941030e+10
-672.0,2.13200000e+04,3.53999343e+02,1.25398918e+05,1.57642049e+10
-668.0,2.32050000e+04,3.51998362e+02,1.23996772e+05,1.54189026e+10
-664.0,2.47690000e+04,3.49963341e+02,1.22574743e+05,1.50708784e+10
-660.0,2.61740000e+04,3.47944907e+02,1.21178779e+05,1.47356500e+10
-656.0,2.75830000e+04,3.45694232e+02,1.19631618e+05,1.43683697e+10
-652.0,2.87480000e+04,3.43526924e+02,1.18155746e+05,1.40241041e+10
-648.0,2.96800000e+04,3.41309838e+02,1.16654460e+05,1.36778662e+10
-644.0,3.06940000e+04,3.39153190e+02,1.15200723e+05,1.33449895e+10
-640.0,3.12030000e+04,3.36686344e+02,1.13564729e+05,1.29809615e+10
-636.0,3.16540000e+04,3.34228028e+02,1.11938541e+05,1.26230591e+10
-632.0,3.19730000e+04,3.31835299e+02,1.10361475e+05,1.22776457e+10
-628.0,3.17670000e+04,3.29310794e+02,1.08720638e+05,1.19274427e+10
-624.0,3.17780000e+04,3.26773932e+02,1.07084379e+05,1.15821723e+10
-620.0,3.10860000e+04,3.23873062e+02,1.05234880e+05,1.12010330e+10
-616.0,3.06480000e+04,3.21316954e+02,1.03634778e+05,1.08793644e+10
-612.0,2.95370000e+04,3.18359414e+02,1.01783643e+05,1.05109075e+10
-608.0,2.88360000e+04,3.15226869e+02,9.98904740e+04,1.01489450e+10
-604.0,2.82460000e+04,3.12453657e+02,9.81782087e+04,9.81716943e+09
