T,m,chi,E,Cv,dm/dbeta,binder,dbinder/dbeta
0.700,9.94983416e-01,1.13754587e+01,-1.97995023e+00,8.13933154e-04,5.31493787e-02,6.66666501e-01,1.33079116e-06
0.701,9.94983143e-01,1.15461511e+01,-1.97994942e+00,8.24984703e-04,5.40246302e-02,6.66666498e-01,1.35274174e-06
0.702,9.94982866e-01,1.17188482e+01,-1.97994858e+00,8.36149701e-04,5.49116216e-02,6.66666495e-01,1.37489123e-06
0.703,9.94982586e-01,1.18936043e+01,-1.97994774e+00,8.47430223e-04,5.58106049e-02,6.66666492e-01,1.39735184e-06
0.704,9.94982301e-01,1.20704392e+01,-1.97994689e+00,8.58827110e-04,5.67217118e-02,6.66666490e-01,1.42013281e-06
0.705,9.94982013e-01,1.22493534e+01,-1.97994602e+00,8.70340527e-04,5.76450076e-02,6.66666487e-01,1.44318901e-06
0.706,9.94981722e-01,1.24303970e+01,-1.97994515e+00,8.81972380e-04,5.85807315e-02,6.66666484e-01,1.46661885e-06
0.707,9.94981426e-01,1.26135428e+01,-1.97994426e+00,8.93721868e-04,5.95288523e-02,6.66666481e-01,1.49029467e-06
0.708,9.94981126e-01,1.27988570e+01,-1.97994336e+00,9.05591447e-04,6.04896673e-02,6.66666478e-01,1.51436267e-06
0.709,9.94980822e-01,1.29863014e+01,-1.97994245e+00,9.17579930e-04,6.14631073e-02,6.66666475e-01,1.53866142e-06
0.710,9.94980515e-01,1.31759345e+01,-1.97994153e+00,9.29689499e-04,6.24494436e-02,6.66666472e-01,1.56331458e-06
0.711,9.94980203e-01,1.33677450e+01,-1.97994059e+00,9.41919919e-04,6.34487029e-02,6.66666469e-01,1.58824029e-06
0.712,9.94979887e-01,1.35617918e+01,-1.97993964e+00,9.54273371e-04,6.44611599e-02,6.66666465e-01,1.61356250e-06
0.713,9.94979567e-01,1.37580790e+01,-1.97993868e+00,9.66750140e-04,6.54868960e-02,6.66666462e-01,1.63924430e-06
0.714,9.94979243e-01,1.39565837e+01,-1.97993771e+00,9.79349582e-04,6.65258984e-02,6.66666459e-01,1.66516840e-06
